day,dev1,dev2,dev3,doc1,doc2,doc3
1,133.34,133.36,133.45,126.54,127.36,131.88
2,110.94,110.85,110.92,124.69,128.86,132.39
3,118.54,118.56,118.67,125.46,129.43,134.43
4,137.94,137.8,137.77,125.95,130.72,134.28
5,139.52,139.62,139.59,125.9,130.13,134.44
6,139.23,139.11,139.36,127.85,132.03,137.37
7,117.96,117.81,117.85,125.55,132.05,132.17
8,119.59,119.42,119.48,125.8,129.87,134.97
9,116.12,116,115.93,125.11,128.09,133.97
10,128.38,128.48,128.41,125.75,131.94,132.68
11,125.17,125.25,125.34,128.77,130.05,134.75
12,134.62,134.41,134.55,125.26,131.13,134.29
13,136.14,136.07,136.22,126.26,130.91,133.38
14,131.21,131.03,130.96,125.68,128.83,135.67
15,132.51,132.86,132.65,124.47,129.46,134.39
