name,category,n,grade,score,gradrt,bkstd,avesat,pctsat
A G Cox Middle,M,788,C,62,0,12.96,0,0
A H Snipes Academy of Arts/Des,E,467,F,39,0,34.6,0,0
A L Brown High,H,1436,C,58,86.4,10.53,947,0.35
A L Stanback Middle,M,635,C,65,0,24.12,0,0
A T Allen Elementary,E,891,C,58,0,12.73,0,0
Aberdeen Elementary,E,328,D,41,0,42.32,0,0
Acme Delco Elementary,E,327,D,50,0,33.12,0,0
Acme Delco Middle,M,142,F,39,0,35.04,0,0
Adams Elementary,E,734,B,73,0,17.85,0,0
Ahoskie Elementary,E,491,D,42,0,0,0,0
Alamance Elementary,E,488,C,68,0,26.46,0,0
Alamance-Burlington Middle College,H,108,A,86,95,0,1034,0.43
Albemarle High,H,394,D,52,82.9,38.07,861,0.54
Albemarle Middle,M,373,C,56,0,20.76,0,0
Albemarle Road Elementary,E,1146,D,47,0,7.63,0,0
Albemarle Road Middle,M,1145,D,50,0,9.02,0,0
Albert H Bangert Elementary,E,433,C,57,0,27.45,0,0
Alderman Road Elementary,E,699,C,60,0,23.06,0,0
Alexander Central High,H,1478,B,76,88.2,7.18,1002,0.34
Alexander Graham Middle,M,1407,B,74,0,6.12,0,0
Alexander Wilson Elementary,E,565,C,69,0,16.12,0,0
Alleghany High,H,450,B,71,88.3,22.59,964,0.29
Allen Jay Elementary,E,408,D,49,0,23.27,0,0
"Allen Jay Middle, A Preparatory Academy",M,294,C,60,0,31.09,0,0
Allen Middle,M,652,D,51,0,36.33,0,0
Allenbrook Elementary,E,537,D,46,0,16.09,0,0
Alston Ridge Elementary,E,1151,B,81,0,19.7,0,0
Altamahaw Ossipee Elem,E,557,C,69,0,22.24,0,0
Andrews Elementary,E,338,C,61,0,22.19,0,0
Andrews High,H,274,C,62,94.3,17.79,929,0.38
Andrews Middle,M,182,D,51,0,28.02,0,0
Angier Elementary,E,453,D,54,0,30.06,0,0
Anne Chesnutt Middle,M,408,D,54,0,25.59,0,0
Anson Co. Early College High,H,210,B,70,95,0,870,0.54
Anson High School,H,618,D,50,90,22.65,790,0.53
Anson High School,H,618,D,50,90,22.65,790,0.53
Anson Middle,M,554,D,42,0,21.87,0,0
Anson New Tech High,H,132,D,46,95,10.08,813,0.91
Anson New Tech High,H,132,D,46,95,10.08,813,0.91
Ansonville Elementary,E,186,B,70,0,44.94,0,0
Antioch Elementary,E,730,A,87,0,21.37,0,0
Apex Elementary,E,644,C,69,0,20.93,0,0
Apex High,H,2218,A,86,94.4,3.07,1113,0.79
Apex Middle,M,1284,B,78,0,9.35,0,0
Apple Valley Middle,M,860,C,67,0,20.6,0,0
Aquadale Elementary,E,301,C,68,0,23.41,0,0
Archdale Elementary,E,372,C,62,0,29.7,0,0
Archdale-Trinity Middle,M,803,C,55,0,224.16,0,0
Archer Elementary,E,407,C,56,0,29.9,0,0
Archer Lodge Middle,M,1037,C,66,0,10.5,0,0
Ardrey Kell High,H,2841,A,93,95,4.58,1120,0.83
Armstrong Elementary,E,427,B,70,0,26.81,0,0
Arthur W Edwards Elementary,E,644,B,74,0,19.92,0,0
Ashbrook High,H,1399,B,73,92.3,8.22,920,0.47
Ashe County High,H,930,C,69,87.8,11.61,993,0.46
Ashe County Middle,M,491,C,66,0,17.67,0,0
Asheboro High,H,1319,C,65,87.1,8.48,928,0.61
Asheville High,H,1033,C,66,85.5,16.59,1055,0.65
Asheville High,H,1033,C,66,85.5,16.59,1055,0.65
Asheville Middle,M,698,C,62,0,17.41,0,0
Ashley Academy,E,500,F,29,0,27.8,0,0
Ashley Elementary,E,214,C,55,0,53.41,0,0
Ashley Park PreK-8 School,I,584,F,33,0,3.42,0,0
Athens Drive High,H,1849,B,75,85,4.85,1103,0.65
Atkins Academic & Tech High,H,718,A,86,95,30.27,1036,0.63
Atkinson Elementary,E,368,B,76,0,32.15,0,0
Atlantic Elementary,E,71,B,71,0,150.48,0,0
Aulander Elementary,E,145,D,47,0,37.56,0,0
Aurelian Springs Elementary,E,314,D,50,0,30.77,0,0
Aversboro Elementary,E,586,C,63,0,20.59,0,0
Avery County High,H,398,B,70,95,19.8,999,0.15
Avery Middle,M,288,C,64,0,21.07,0,0
Avery's Creek Elementary,E,607,C,61,0,28.59,0,0
Aycock Elementary,E,383,B,72,0,33.07,0,0
Aycock Middle,M,611,D,50,0,35.87,0,0
Ayden Elementary,E,688,C,56,0,17.56,0,0
Ayden Middle,M,326,C,60,0,25.89,0,0
Ayden-Grifton High,H,688,D,52,86,11.75,918,0.45
B Everett Jordan Elem,E,398,C,58,0,13.71,0,0
B F Grady Elementary,I,927,D,49,0,22.95,0,0
B O Barnes Elementary,E,398,F,35,0,14.15,0,0
B T Washington Primary,E,196,D,45,0,87.82,0,0
Badin Elementary,E,445,C,66,0,17.46,0,0
Bailey Elementary,E,625,C,55,0,16.76,0,0
Bailey Middle,M,1572,B,82,0,6.62,0,0
Baileywick Road Elementary,E,444,C,60,0,30.97,0,0
Bain Elementary,E,954,A,87,0,14.46,0,0
Bald Creek Elementary,E,163,A,85,0,39.48,0,0
Balfour Elementary,E,545,C,56,0,22.02,0,0
Ballantyne Elementary,E,884,A,86,0,16.88,0,0
Ballentine Elementary,E,478,C,67,0,27.23,0,0
Balls Creek Elementary,E,560,B,71,0,25.11,0,0
Bandys High,H,852,B,76,94,15.36,1021,0.56
Banks Elementary,E,568,C,65,0,16.86,0,0
Banks Road Elementary,E,686,B,76,0,31.9,0,0
Banner Elk Elementary,E,158,C,64,0,44.28,0,0
Banoak Elementary,E,292,C,69,0,32.11,0,0
Barnardsville Elementary,E,154,C,67,0,44.73,0,0
Barnette Elementary,E,658,B,73,0,17.01,0,0
Barringer Academic Center,E,596,C,60,0,19.86,0,0
Bartlett Yancey High,H,813,D,53,76.6,11.58,897,0.47
Barwell Road Elementary,E,832,D,46,0,20.27,0,0
Baskerville Elementary,E,386,D,40,0,18.38,0,0
Bath Elementary,I,576,C,65,0,22.32,0,0
Baton Elementary,E,412,C,61,0,33.41,0,0
Battleground Elementary,E,277,D,52,0,24.7,0,0
Baucom Elementary,E,743,B,80,0,19.3,0,0
Bearfield Primary,E,691,D,51,0,30.89,0,0
Beaufort Co Early College High,H,228,A,93,95,0,1088,0.17
Beaufort Elementary,E,445,B,72,0,40.31,0,0
Beaufort Middle,M,248,C,60,0,40.46,0,0
Beaver Dam Elementary,E,97,A,85,0,62.99,0,0
Beddingfield High,H,815,D,54,83.3,19.78,909,0.41
Bee Log Elementary,E,50,C,69,0,91.74,0,0
Bell Elementary,E,278,B,73,0,45.2,0,0
Bell Fork Elementary,E,633,C,65,0,32.45,0,0
Belmont Central Elementary,E,726,B,75,0,15.58,0,0
Belmont Elementary School,E,632,C,55,0,16.95,0,0
Belmont Middle,M,733,C,63,0,14.15,0,0
Belville Elementary,E,798,C,61,0,19.03,0,0
Belvoir Elementary,E,483,D,47,0,23.63,0,0
Ben D Quinn Elementary,E,479,C,65,0,28.53,0,0
Ben L. Smith High School,H,1220,C,57,83.6,11.45,786,0.58
Benhaven Elementary,E,495,D,52,0,25.79,0,0
Benjamin J Martin Elementary,E,543,C,58,0,20.94,0,0
Bennett School,I,211,C,67,0,58.15,0,0
Benson Elementary,E,613,D,49,0,16.85,0,0
Benson Middle,M,445,C,58,0,50.24,0,0
Benton Heights Elementary,E,590,D,42,0,19.83,0,0
Benvenue Elementary,E,700,D,51,0,20.24,0,0
Berewick Elementary,E,635,C,59,0,16.38,0,0
Berryhill School,I,685,C,59,0,18.5,0,0
Bertie Early College High,H,171,B,80,95,0,908,0.53
Bertie High,H,483,D,47,83.5,19.15,760,0.45
Bertie Middle,M,555,D,44,0,13.64,0,0
Bessemer City Central Elem,E,436,D,43,0,18.08,0,0
Bessemer City High,H,620,C,59,83.1,13.62,888,0.3
Bessemer City Middle,M,526,D,49,0,15.29,0,0
Bessemer Elementary,E,479,F,39,0,25.66,0,0
Bethany Elementary,E,437,C,65,0,31.22,0,0
Bethel Elementary,E,499,B,76,0,25.04,0,0
Bethel Elementary,E,651,C,56,0,11.12,0,0
Bethel Elementary,I,177,C,62,0,30.41,0,0
Bethel Elementary,I,288,C,55,0,28.79,0,0
Bethel Middle,M,279,B,72,0,19.22,0,0
Bethesda Elementary,E,665,D,45,0,20.29,0,0
Bethlehem Elementary,E,474,C,66,0,24.7,0,0
Bethware Elementary,E,404,B,77,0,19.88,0,0
Beulaville Elementary,I,915,C,58,0,11.28,0,0
Beverly Hills Elementary,E,324,C,64,0,25.8,0,0
Beverly Woods Elementary,E,779,B,80,0,14.18,0,0
Bill Hefner Elementary,E,782,C,58,0,22.63,0,0
Billingsville Elementary,E,312,D,52,0,30.01,0,0
Black Mountain Elementary,E,210,C,62,0,31.21,0,0
Black Mountain Primary,E,426,B,70,0,45.57,0,0
Blackburn Elementary,E,669,C,66,0,19.35,0,0
Bladen Lakes Primary,E,237,D,54,0,47.89,0,0
Bladenboro Middle,M,322,D,43,0,21.17,0,0
Bladenboro Primary,E,385,C,60,0,37.77,0,0
Blowing Rock Elementary,I,350,B,81,0,37.14,0,0
Blue Creek Elementary,E,464,C,56,0,30.75,0,0
Blue Ridge Early College,T,179,C,60,95,28.49,866,0.15
Blue Ridge Elementary,E,517,C,65,0,17.9,0,0
Blue Ridge School,E,165,D,48,0,30.85,0,0
Bluford Elementary,E,293,D,40,0,43.48,0,0
Blythe Elementary,E,1127,C,66,0,12.1,0,0
Bogue Sound Elementary,E,427,C,67,0,32.02,0,0
Boiling Springs Elementary,E,515,B,78,0,22.97,0,0
Bolivia Elementary,E,466,C,59,0,20.18,0,0
Bolton Elementary,E,462,D,52,0,26.75,0,0
Bonlee School,I,326,C,62,0,40.95,0,0
Boomer-Ferguson Elementary,E,147,C,56,0,44.76,0,0
Boone Trail Elementary,E,970,C,59,0,22.88,0,0
Boonville Elementary,A,332,C,64,0,46.2,0,0
Bostian Elementary,E,342,C,64,0,24.93,0,0
Bowman Middle,M,224,C,65,0,26.78,0,0
Bradley Creek Elementary,E,446,C,69,0,24.44,0,0
Brassfield Elementary,E,760,A,86,0,20.38,0,0
Brawley Middle,M,748,B,77,0,16.04,0,0
Braxton Craven Middle,M,365,C,59,0,23.46,0,0
Brentwood Elementary,E,539,C,64,0,25.26,0,0
Brentwood Elementary,E,393,C,55,0,36.34,0,0
Brevard Elementary,E,534,C,65,0,28.56,0,0
Brevard High,H,727,B,74,94.6,18.14,1053,0.47
Brevard Middle,M,500,C,68,0,31.19,0,0
Briarcliff Elementary,E,560,C,69,0,20.3,0,0
Briarwood Elementary,E,726,D,45,0,7.68,0,0
Bridgeton Elementary,E,459,C,68,0,25.26,0,0
Brier Creek Elementary,E,305,C,63,0,32.73,0,0
Brier Creek Elementary,E,983,C,68,0,12.53,0,0
Brightwood Elementary,E,590,D,43,0,23.55,0,0
Brinson Memorial Elementary,E,676,B,70,0,24.26,0,0
Broad Creek Middle,M,630,C,68,0,19.84,0,0
Broadview Middle,M,787,D,45,0,17.64,0,0
Broadway Elementary,E,572,D,50,0,18.12,0,0
Brogden Middle,M,585,D,44,0,17.2,0,0
Brogden Middle,M,500,F,35,0,12,0,0
Brogden Primary,E,834,F,38,0,12.56,0,0
Brooks Elementary,E,564,B,70,0,16.31,0,0
Brooks Global Elementary,E,409,B,79,0,42.18,0,0
Brookside Elementary,E,530,C,64,0,19.69,0,0
Brown Summit Middle,M,240,A,96,0,25.84,0,0
Bruce Drysdale Elementary,E,522,D,53,0,31.27,0,0
Bruns Academy,I,805,F,28,0,12.49,0,0
Brunson Elementary,E,611,B,70,0,25.21,0,0
Brunswick County Early College,H,311,A,95,95,1.85,1067,0.12
Brush Creek Elementary,E,372,B,70,0,43.73,0,0
BT Bullock Elementary,E,700,C,56,0,13.77,0,0
Buckland Elementary,E,226,C,67,0,29.78,0,0
Bugg Elementary,E,535,D,44,0,22.64,0,0
Buies Creek Elementary,E,307,C,66,0,39.19,0,0
